turn,utterance,emotion,act,hat,dialogue_id,topic
8,"I'm so sorry , I .. I didn't realize it was that loud .",sadness,inform,black,4244,Attitude_Emotion
0,"Look , Bob hasn't made any progress on that project .",no_emotion,inform,black,10439,Work
1,"After all , he is a baby .",no_emotion,inform,black,4179,Attitude_Emotion
7,"It's so cheap . I'll buy one , too .",happiness,inform,black,4249,Attitude_Emotion
0,You're late .,no_emotion,inform,black,4247,Attitude_Emotion
1,It makes no sense to tell him about that .,no_emotion,commissive,black,10467,Work
3,It seemed to be useless to study well when we were young if we examine his case . __eou__,no_emotion,inform,black,4222,Attitude_Emotion
4,"Yes , I did . He only takes side with him . He seldom asks what Dick is doing . __eou__",no_emotion,inform,black,4197,Attitude_Emotion
3,But didn ’ t you say that his Dad takes him under his wings ?,no_emotion,question,black,4197,Attitude_Emotion
5,So I couldn't get through . I knew I'd be late because my car wouldn't start.It was too cold I had to warm it up in the garage with a heater . That's why I'm late .,no_emotion,inform,black,4247,Attitude_Emotion
1,Why ?,no_emotion,question,black,10471,Work
2,You forgot it last year as well .,anger,inform,black,4256,Attitude_Emotion
0,"Hello , Bob . Can you give me an update of the situation ?",no_emotion,directive,black,10465,Work
2,"Let's look at that another way . The major point is the value that we add , not who has been in business longer , or is bigger .",no_emotion,directive,black,10489,Work
1,That is just an excuse.You can always find some time to exercise .,no_emotion,inform,black,4171,Attitude_Emotion
2,The mayor and high official practice crony is mand a large number of guys who are good at nothing occupy many important positions .,no_emotion,inform,black,4215,Attitude_Emotion
12,"Yes , that's true . Damn ! I just lost half my paper , and now I can't even do my homework.This is a bad time for this to happen .",anger,inform,black,4251,Attitude_Emotion
6,"No , not yet , but someone ’ s going to have to .",no_emotion,inform,black,10475,Work
0,Mr . Wilson . We very regret the mistakes in goods . I am very sorry and we are responsible for the mistake .,no_emotion,directive,black,10617,Work
0,"Mrs . Lee , I ’ Ve stayed here for almost a week . And I really must leave tomorrow .",no_emotion,inform,black,10480,Work
3,I laughed up my sleeves at him . He ’ s seen his girlfriend off at the airport and had lipstick on his face and did not know it . __eou__,no_emotion,inform,black,4239,Attitude_Emotion
3,You're too strict with yourself .,no_emotion,inform,black,4202,Attitude_Emotion
2,Not often . Just when I make mistakes . __eou__,no_emotion,inform,black,4233,Attitude_Emotion
11,Slacker and those who violate working principles . __eou__,no_emotion,inform,black,10460,Work
4,"Maybe his phone is out of order . Anyway , keep working on it . I really need an answer about the contract I sent him .",no_emotion,directive,black,10478,Work
2,Really ? I think that's impossible !,surprise,question,black,4837,Relationship
2,"If I were him , I wouldn't brazen it out by asking my parents for money .",no_emotion,inform,black,4219,Attitude_Emotion
3,I'm afraid we have to reschedule it .,no_emotion,directive,black,10477,Work
7,"We really can ’ t ask him to stop having students come in for help , can we ?",no_emotion,directive,black,10475,Work
3,But I ’ m not in there very often . It ’ s so noisy that I can ’ t work .,no_emotion,commissive,black,10475,Work
2,"I've tried it , but he would have none of it . __eou__",no_emotion,inform,black,4207,Attitude_Emotion
1,He's a sad dog . He came to the wedding in jeans !,anger,inform,black,4228,Attitude_Emotion
11,No . I hate cell phones.But you could go to a neighbor's house and use their phone .,no_emotion,inform,black,4247,Attitude_Emotion
1,"Does he do that with his Dad ? I mean , does he complain things to his father ?",no_emotion,question,black,4197,Attitude_Emotion
2,Jack borrowed a large sum of money from me and didn ’ t pay me back .,no_emotion,inform,black,4235,Attitude_Emotion
4,"No , listen to me . Perhaps it's my fault that I treat everybody so well . Maybe in other people's eyes , I want you to be my girl-friend . but ... but ...",no_emotion,inform,black,4257,Attitude_Emotion
1,We broke up . __eou__,no_emotion,inform,black,4874,Relationship
2,"You liar , I saw you again in the inn . I bet you don't want to work at all . __eou__",no_emotion,inform,black,4225,Attitude_Emotion
5,Has anybody spoken to him about it ?,no_emotion,inform,black,10475,Work
1,Selfishness is one human beings instincts . It is very difficult to get it out root and branch .,no_emotion,inform,black,4192,Attitude_Emotion
1,"I'm trying to send the instruction book by E-mail , but I failed many , many times . And there is something wrong with the net maybe . It's so slow .",no_emotion,inform,black,10621,Work
3,Because he'll tell Mary and that will cause us problems . __eou__,no_emotion,inform,black,10467,Work
5,It kept me awake .,no_emotion,inform,black,4244,Attitude_Emotion
2,Don ’ t you see many parents are forcing there children ’ s hands to learn something they think important to their children . But the children are not interested in it at all .,no_emotion,inform,black,4238,Attitude_Emotion
5,"Partly , and he's also a hardworking man . __eou__",no_emotion,inform,black,4214,Attitude_Emotion
5,I thought the starting salary is too low .,no_emotion,directive,black,10619,Work
1,How could we ever manage to buy a big house when we are always living beyond our means ?,no_emotion,question,black,4237,Attitude_Emotion
1,I'm afraid you've got the wrong extension number .,no_emotion,commissive,black,10624,Work
2,He was so rich in the past . Maybe he ’ s regretting his past mistakes now .,no_emotion,inform,black,4194,Attitude_Emotion
1,"I know I'm late . I'm sorry . I tried to call you to tell you , but your phone seems to be disconnected .",no_emotion,inform,black,4247,Attitude_Emotion
3,I'm not sure . __eou__,no_emotion,inform,black,10461,Work
2,I'm sorry to say the only term of payment we can accept is 100 % irrevocable letter of credit payable against shipping documents .,no_emotion,commissive,black,10491,Work
1,"I'm looking for it , but you see , the market is hard up for jobs , too .",no_emotion,inform,black,4225,Attitude_Emotion
0,Finding an excuse is obviously down your alley . And trying to avoid taking care of the children is what you are good at .,anger,inform,black,4217,Attitude_Emotion
3,I just keep getting a busy signal .,no_emotion,inform,black,10478,Work
10,"So cool , if we do business through other ways , it will cost a lot of time .",no_emotion,inform,black,10483,Work
3,"She's my sister , you know . __eou__",no_emotion,inform,black,4221,Attitude_Emotion
3,It ’ s too late . __eou__,no_emotion,inform,black,4194,Attitude_Emotion
10,"Oh , that would be too small .",no_emotion,commissive,black,10475,Work
2,Sure thing . Do you want me to give you a ride home ?,no_emotion,directive,green,10479,Work
9,How about recommending him to use the storage room down the hall ?,no_emotion,directive,green,10475,Work
0,"Linda , it's really late . Let's call it a day .",no_emotion,directive,green,10479,Work
6,Consult your bank and see if they will reduce the required deposit to a minimum . __eou__,no_emotion,directive,green,10491,Work
13,"Actually , I don't think you can call the police . Not yet at least.He hasn't done anything . And probably the police will just ignore it.But if anything happens again , then maybe you should call .",no_emotion,inform,green,4250,Attitude_Emotion
4,"You know that everybody notices how beautiful you are , don't you ?",happiness,inform,green,4264,Attitude_Emotion
5,How about going for a walk instead of sitting on the sofa reading the newspaper after dinner every night ?,no_emotion,directive,green,4171,Attitude_Emotion
1,Good idea . We can finish this project the first thing tomorrow morning .,no_emotion,commissive,green,10479,Work
4,She ’ s your sister.What she asked was only duck soup for you.Why can ’ t you be good to her ?,anger,question,green,4220,Attitude_Emotion
1,Yes . I'd like to swap some of my peanuts for your chips .,happiness,commissive,green,4877,Relationship
8,I don't know . I feel like going out .,no_emotion,inform,green,4251,Attitude_Emotion
4,"Yes , the mass media has wider influence . One of my classmates works in an advertisement company . I can get help and inspiration from him . And we can also try some less expensive approaches of advertising , such as on-line sales . Personally , I prefer to the on-line sales , for it is cheaper , faster and wider . __eou__",no_emotion,commissive,green,10615,Work
14,"Yes , I do.At Ann's house I will call the phone company and have them check my line.If they can fix it right away without coming to my house , then we'll just return here.But if not , I need to wait at Ann's house to talk with the theater guild.It ' s very important to me .",no_emotion,inform,green,4247,Attitude_Emotion
0,Can you imagine a boat letting in the river ?,no_emotion,question,green,4236,Attitude_Emotion
3,Her lips ? The early morning rose would wither on the branch if it could feel envy .,happiness,inform,green,4258,Attitude_Emotion
2,I must apologize . I'll buy you a new one tomorrow .,sadness,inform,green,4266,Attitude_Emotion
13,"I have a flashlight in my closet . If you want to use that to read , you can . __eou__",no_emotion,inform,green,4251,Attitude_Emotion
12,"Come to think of it , you may be on to something . Let ’ s go have a look .",no_emotion,directive,green,10475,Work
1,Why don't you ask your husband to help you with it ?,no_emotion,question,green,4207,Attitude_Emotion
7,Did he leave when you left ?,no_emotion,question,green,4250,Attitude_Emotion
2,"No , Miss Anna , you must let me say how lovely you are ! What's wrong with that ?",happiness,inform,green,4264,Attitude_Emotion
5,"I've had that problem too many times . So I learned to save.When I'm writing something , I save every three sentences or so . I don't want to lose anything .",no_emotion,inform,green,4251,Attitude_Emotion
8,"You know what.The theater guild is supposed to call me and discuss a contract for my play.They are supposed to call me this evening.If I don't have a phone . Oh , what can I do ?",no_emotion,inform,green,4247,Attitude_Emotion
2,But you should avoid finger-pointing when you haven ’ t got the real facts .,no_emotion,directive,green,4231,Attitude_Emotion
0,"What do you say to eating out , Maggie ?",happiness,directive,green,4831,Relationship
12,Can you drive me ? I will go to Ann's house . It isn't far . I can call the theater guild from there and give them her number.She will let us wait in her living room .,no_emotion,directive,green,4247,Attitude_Emotion
13,"Of course , such as Alabama , which is a famous website .",no_emotion,commissive,green,10483,Work
